B-01,B-02,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,Average,Variance,Zone 1,Zone 2,Zone 3
276,519,978,63,673,285,51,237,130,177,378,783,81,141,168,0,141,255,9,66,18,504,269.6818181818182,68247.39876033059,130.0,111.6,327.8125
327,351,537,63,606,297,42,426,108,162,612,642,81,153,57,0,18,255,27,84,72,309,237.6818181818182,43179.489669421484,108.0,114.6,284.25
333,564,453,96,486,75,150,258,162,351,612,465,156,60,141,0,102,193,48,45,72,162,226.54545454545453,32574.2479338843,162.0,88.2,273.8125
303,345,453,69,378,72,201,27,162,222,595,786,60,60,471,9,246,84,30,36,67,81,216.22727272727272,42668.084710743795,162.0,80.4,262.0625
225,414,409,111,231,150,135,18,54,222,645,912,9,100,354,21,153,36,18,18,45,192,203.27272727272728,49411.198347107435,54.0,83.0,250.1875
186,414,396,189,231,228,60,9,27,240,624,792,27,81,231,21,60,9,9,30,27,225,187.0909090909091,42252.991735537194,27.0,83.4,229.5
117,297,402,192,298,117,102,51,18,57,750,792,75,30,87,18,27,9,9,48,54,123,166.95454545454547,46892.497933884304,18.0,68.4,207.0625
144,138,366,75,486,9,39,90,9,144,591,531,57,9,51,42,72,9,63,36,102,126,144.95454545454547,29980.134297520664,9.0,31.2,189.0
72,96,294,39,381,18,39,48,9,198,591,237,51,48,129,33,36,79,72,48,102,96,123.45454545454545,19017.2479338843,9.0,37.8,157.375
168,246,294,39,282,9,62,96,9,93,432,180,63,48,186,0,78,78,9,201,198,36,127.5909090909091,12408.514462809915,9.0,36.4,163.5
171,369,324,40,273,54,85,117,9,291,261,222,51,52,162,30,60,36,39,198,288,27,143.5909090909091,12756.514462809917,9.0,54.4,179.875
171,369,165,27,273,63,108,48,27,330,324,231,18,57,144,9,12,39,39,18,81,75,119.45454545454545,12724.88429752066,27.0,51.0,146.625
129,219,138,0,196,9,9,75,27,294,273,231,0,0,99,18,27,69,18,9,72,39,88.68181818181819,8755.035123966944,27.0,7.2,118.0
171,60,108,0,27,0,9,84,27,120,222,219,9,18,36,18,33,69,75,36,54,9,63.81818181818182,4224.421487603307,27.0,10.8,82.6875
363,141,99,30,252,0,18,144,21,93,222,102,9,39,60,36,36,70,144,54,54,90,94.4090909090909,7589.42355371901,21.0,20.4,122.125
225,162,99,51,288,9,0,105,15,102,232,171,9,39,99,51,12,30,75,63,49,27,86.95454545454545,6292.861570247935,15.0,21.6,111.875
54,51,82,75,114,18,0,30,9,198,255,228,9,40,138,330,36,69,9,54,72,81,88.72727272727273,7527.652892561983,9.0,79.4,96.625
48,51,291,129,114,108,18,39,9,189,141,138,0,0,69,27,36,144,45,45,90,90,82.77272727272727,4750.084710743801,9.0,30.6,103.6875
12,51,252,18,79,78,48,18,9,30,276,138,0,9,0,9,21,159,63,75,99,18,66.45454545454545,5735.157024793389,9.0,28.8,81.8125
6,30,90,99,117,33,72,9,0,18,444,201,0,9,9,0,15,159,9,258,45,0,73.77272727272727,11424.811983471078,0.0,22.8,94.3125
24,18,90,90,135,42,42,18,18,87,444,231,0,9,27,0,18,84,93,219,45,9,79.22727272727273,10289.993801652894,18.0,18.6,102.0
24,18,90,18,90,9,9,18,18,39,261,90,9,9,27,39,30,72,111,36,126,9,52.36363636363637,3351.0495867768595,18.0,15.0,66.1875
0,9,63,21,72,0,9,45,18,171,117,48,30,4,60,72,24,39,9,75,168,0,47.90909090909091,2389.537190082645,18.0,23.0,57.5625
0,9,18,21,72,9,30,66,9,63,219,36,21,0,75,0,6,66,30,57,54,18,39.95454545454545,2154.5888429752067,9.0,12.0,50.625
63,13,36,10,82,9,21,0,0,9,132,36,0,0,42,0,57,171,21,63,90,9,39.27272727272727,2022.4710743801654,0.0,6.0,52.125
84,18,45,0,93,9,21,9,0,105,69,64,0,0,9,9,66,171,18,45,90,0,42.04545454545455,1993.4070247933885,0.0,7.8,55.375
51,27,36,9,72,21,21,9,0,18,69,87,0,0,0,18,33,118,18,9,90,0,32.09090909090909,1122.4462809917354,0.0,12.0,40.375
36,18,36,0,36,0,18,0,0,27,90,54,0,0,9,27,24,66,9,9,109,0,25.818181818181817,881.8760330578513,0.0,9.0,32.6875
36,9,22,18,27,0,18,102,9,9,99,30,0,0,30,9,45,39,9,48,63,0,28.272727272727273,809.1074380165289,9.0,5.4,36.625
24,9,45,30,27,0,13,126,9,60,57,9,0,0,30,0,39,51,0,141,81,0,34.13636363636363,1508.8450413223143,9.0,2.6,45.5625
0,4,27,21,31,0,69,51,9,30,36,9,0,9,9,0,39,96,9,111,63,27,29.545454545454547,939.1570247933886,9.0,15.6,35.1875
6,0,9,0,27,0,60,18,9,159,30,19,21,9,0,0,39,96,9,9,36,18,26.09090909090909,1338.9917355371897,9.0,18.0,29.6875
0,18,9,0,0,0,9,9,0,9,30,27,0,0,0,0,0,58,0,18,36,9,10.545454545454545,222.52066115702482,0.0,1.8,13.9375
0,18,9,0,0,0,9,9,0,18,34,39,0,0,30,9,15,21,0,27,22,9,12.227272727272727,146.3574380165289,0.0,3.6,15.6875
6,0,4,0,0,0,0,21,9,51,153,9,0,4,60,9,21,18,0,18,36,0,19.045454545454547,1125.7706611570247,9.0,2.6,24.8125
6,0,27,0,0,0,0,9,0,9,144,18,0,0,30,0,6,9,18,66,18,0,16.363636363636363,1005.3223140495868,0.0,0.0,22.5
6,15,18,0,4,0,0,0,0,0,72,18,9,9,18,0,0,18,18,57,36,0,13.545454545454545,352.33884297520655,0.0,3.6,17.5
6,42,9,0,18,0,0,0,0,9,30,13,18,9,18,9,0,18,9,9,36,9,11.909090909090908,132.1735537190083,0.0,7.2,14.125
0,30,18,3,27,0,0,9,0,9,30,9,0,0,0,9,0,22,9,18,36,18,11.227272727272727,132.8119834710744,0.0,1.8,14.875
0,9,18,6,0,0,0,18,0,9,30,18,0,0,0,0,6,0,0,18,36,9,8.045454545454545,108.31611570247934,0.0,0.0,11.0625
0,9,9,0,0,0,0,9,0,9,60,9,0,4,0,0,6,87,0,0,18,0,10.0,443.1818181818182,0.0,0.8,13.5
0,9,27,0,0,9,0,0,9,9,48,9,0,0,0,0,15,87,0,0,9,0,10.5,403.97727272727275,9.0,1.8,13.3125
0,4,27,0,9,9,0,0,9,18,9,9,0,0,21,0,15,9,9,0,18,0,7.545454545454546,62.42975206611572,9.0,1.8,9.25
0,0,27,0,27,0,21,0,18,9,9,9,0,0,21,9,0,9,9,9,57,0,10.636363636363637,181.41322314049586,18.0,6.0,11.625
0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,9,6,4,0,0,57,0,4.2727272727272725,142.83471074380165,0.0,1.8,5.3125
0,9,0,0,0,0,0,0,0,0,24,0,0,0,0,0,6,0,0,0,37,0,3.4545454545454546,81.79338842975207,0.0,0.0,4.75
0,30,0,0,0,9,0,0,0,129,9,0,0,0,21,0,60,18,0,0,0,0,12.545454545454545,845.7024793388431,0.0,1.8,16.6875
102,30,0,0,0,0,0,0,9,21,60,54,0,0,21,0,24,27,0,0,18,0,16.636363636363637,651.0495867768592,9.0,0.0,22.3125
126,15,0,0,0,0,0,0,9,9,39,54,0,0,0,0,24,9,0,9,27,0,14.590909090909092,794.6962809917352,9.0,0.0,19.5
