Date,Timenumber,Time,Battery,Fix,Latitude,Longitude,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0,PM1_Std,PM2.5_Std,PM10_Std,PM1_Env,PM2.5_Env,PM10_Env
8/8/2020,0.4346,10:25:53,3.81625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4348,10:26:03,3.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4349,10:26:13,3.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.435,10:26:23,3.81625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4351,10:26:33,3.81625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4354,10:27:00,3.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4355,10:27:10,3.81125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4357,10:27:20,3.81125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4358,10:27:30,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4359,10:27:40,3.81125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4361,10:28:00,3.81375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4362,10:28:10,3.81375,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4363,10:28:20,3.81375,0,0,0,51,7,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4365,10:28:30,3.8125,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4366,10:28:40,3.8125,0,0,0,51,13,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4368,10:29:00,3.81,0,0,0,39,6,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4369,10:29:10,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.437,10:29:20,3.81125,0,0,0,117,39,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4372,10:29:30,3.8125,0,0,0,138,42,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4373,10:29:40,3.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4375,10:30:00,3.81125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4376,10:30:10,3.80875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4377,10:30:20,3.80875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4379,10:30:30,3.8075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.438,10:30:40,3.80875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4382,10:31:00,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4383,10:31:10,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4384,10:31:20,3.81125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4385,10:31:30,3.81125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4387,10:31:40,3.81125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4389,10:32:00,3.80875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.439,10:32:10,3.80625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4391,10:32:20,3.80625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4392,10:32:30,3.80625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4394,10:32:40,3.80875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4396,10:33:00,3.80875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4397,10:33:10,3.80875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4398,10:33:20,3.80875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4399,10:33:30,3.80875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4401,10:33:40,3.80375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4403,10:34:00,3.8075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4404,10:34:10,3.80875,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4405,10:34:20,3.80875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4406,10:34:30,3.8075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4407,10:34:40,3.8075,0,0,0,33,11,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.441,10:35:00,3.8075,0,0,0,306,82,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4411,10:35:10,3.80625,0,0,0,408,97,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4412,10:35:20,3.80375,0,0,0,219,49,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4413,10:35:30,3.80375,0,0,0,123,12,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4414,10:35:40,3.80375,0,0,0,90,9,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4417,10:36:00,3.8075,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4418,10:36:10,3.8075,0,0,0,27,3,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4419,10:36:20,3.80625,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.442,10:36:30,3.80625,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4421,10:36:40,3.80625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4424,10:37:00,3.80375,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4425,10:37:10,3.80125,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4426,10:37:20,3.80125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4427,10:37:30,3.80375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4428,10:37:40,3.80625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4431,10:38:00,3.80625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4432,10:38:10,3.80625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4433,10:38:20,3.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4434,10:38:30,3.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4435,10:38:40,3.80375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4438,10:39:00,3.80375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4439,10:39:10,3.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.444,10:39:20,3.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4441,10:39:30,3.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4442,10:39:40,3.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4444,10:40:00,3.80125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4446,10:40:10,3.80125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4447,10:40:20,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4448,10:40:30,3.80125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4449,10:40:40,3.8025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4451,10:41:00,3.80375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4453,10:41:10,3.80375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4454,10:41:20,3.80375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
