Date,Timenumber,Time,Battery,Fix,Latitude,Longitude,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0,PM1_Std,PM2.5_Std,PM10_Std,PM1_Env,PM2.5_Env,PM10_Env
8/8/2020,0.4347 ,10:25:54,3.82375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4348 ,10:26:04,3.82375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4349 ,10:26:14,3.82375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4350 ,10:26:24,3.82375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4351 ,10:26:34,3.8225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4354 ,10:27:01,3.82125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4355 ,10:27:11,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4357 ,10:27:21,3.81875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4358 ,10:27:31,3.81875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4359 ,10:27:41,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4361 ,10:28:01,3.8225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4362 ,10:28:11,3.82125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4364 ,10:28:21,3.8225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4365 ,10:28:31,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4366 ,10:28:41,3.81875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4368 ,10:29:01,3.8175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4369 ,10:29:11,3.8175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4370 ,10:29:21,3.81875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4372 ,10:29:31,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4373 ,10:29:41,3.82125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4375 ,10:30:01,3.82125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4376 ,10:30:11,3.81875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4377 ,10:30:21,3.81625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4379 ,10:30:31,3.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4380 ,10:30:41,3.81625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4382 ,10:31:01,3.8175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4383 ,10:31:11,3.81875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4384 ,10:31:21,3.81875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4386 ,10:31:31,3.81875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0.4387 ,10:31:41,3.81875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
