B-01,B-02,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,Average,Variance,Zone 1,Zone 2,Zone 3
0.0,11.25,0.0,0.0,6.75,7.5,2.25,0.0,11.25,0.0,5.5,4.75,0.0,0.0,0.0,2.25,1.5,5.25,0.0,0.0,3.25,0.0,2.7954545454545454,58.39979338842975,3.125,2.65,2.7083333333333335
0.0,11.25,0.0,0.0,11.25,2.25,0.0,0.0,0.0,5.25,4.5,13.75,0.0,1.0,0.0,2.25,3.0,4.75,0.0,2.25,6.75,0.0,3.102272727272727,52.42716942148762,1.25,4.025,3.4166666666666665
0.0,13.5,0.0,0.0,4.5,0.0,0.0,0.0,2.25,19.5,5.5,13.5,0.0,2.25,0.0,0.0,0.0,4.5,0.0,2.25,3.25,0.0,3.2272727272727275,71.54028925619835,3.625,3.375,2.5833333333333335
0.0,5.5,0.0,0.0,0.0,5.25,0.0,0.0,2.25,14.25,6.75,15.75,0.0,0.0,0.0,2.25,0.0,6.75,0.0,12.0,0.0,0.0,3.215909090909091,65.75361570247934,3.625,2.125,4.625
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,4.5,2.5,0.0,0.0,0.0,2.25,7.5,0.0,0.0,14.25,2.25,2.25,1.715909090909091,37.80836776859504,0.375,1.225,3.875
0.0,0.0,2.25,0.0,0.0,0.0,2.25,2.25,0.0,48.75,4.5,0.0,0.0,2.25,0.0,0.0,31.5,0.0,2.25,6.75,2.25,2.25,4.875,521.1306818181819,8.125,4.5,2.25
1.5,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,55.5,5.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,21.75,1.0,0.0,4.170454545454545,572.3713842975205,9.5,0.65,4.708333333333333
0.0,0.0,1.0,0.0,0.0,20.5,0.0,0.0,16939.5,49.5,4.5,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,19.5,2.25,0.0,774.6022727272727,17556784.389979336,2835.2916666666665,0.325,4.375
3.75,0.0,4.5,0.0,2.25,396.0,2.25,0.0,16849.5,9.75,4.25,0.0,143.25,0.0,0.0,0.0,0.0,2.25,0.0,2.25,2.25,0.0,791.9204545454545,16215903.596590908,2900.375,0.9,1.8333333333333333
99.75,42.75,135.25,0.0,3.25,1615.5,20.25,0.0,23435.25,43.5,6.75,2.25,317.25,0.0,0.0,5.25,0.0,12.75,2.25,6.75,2.25,18.75,1171.3522727272727,28180757.353822306,4251.875,22.475,5.625
205.5,27.75,780.75,16.75,0.0,1288.5,95.25,2.25,13817.25,40.5,4.5,2.25,366.75,0.0,0.0,5.25,0.0,6.75,4.5,4.5,9.0,99.0,762.5909090909091,10248123.393595045,2622.5416666666665,101.175,5.0
346.5,31.0,982.5,33.5,13.0,3188.25,170.25,2.25,11058.25,0.0,0.0,4.5,493.5,0.0,2.25,0.0,5.25,1.0,0.0,0.0,9.0,171.75,750.5795454545455,6007939.592458676,2520.0,138.05,2.0416666666666665
354.0,250.75,944.25,28.5,189.25,4125.75,188.25,2.25,25144.75,10.5,2.25,33.0,411.0,0.0,2.25,0.0,3.75,4.5,10.5,2.25,1.0,276.0,1453.8522727272727,29963436.576962806,5012.416666666667,189.8,2.0416666666666665
319.5,354.0,971.5,82.5,469.5,4926.0,194.25,2.25,20120.25,10.5,2.25,48.0,166.5,2.25,0.0,2.25,4.5,6.75,12.75,0.0,0.0,273.0,1271.2954545454545,19623338.969008267,4270.875,233.2,1.875
365.25,289.5,892.5,88.5,633.75,1873.75,642.75,2.25,28013.25,7.5,3.5,50.25,319.5,4.5,0.0,0.0,4.5,3.25,4.5,0.0,2.25,555.75,1534.4090909090908,35106897.841942154,5111.291666666667,308.025,1.5
314.25,303.25,902.5,66.0,563.25,1322.25,282.75,5.25,15987.75,2.25,5.25,43.5,701.25,14.75,0.0,0.0,0.0,2.25,0.0,0.0,0.0,445.5,952.8181818181818,14277529.00929753,3065.625,256.075,1.25
429.0,272.25,1099.75,93.25,486.0,1085.25,232.5,41.25,13965.75,9.75,24.75,52.0,1448.25,62.25,0.0,26.25,6.0,2.25,2.25,0.0,4.5,372.0,896.1477272727273,9774100.190599173,2838.5416666666665,262.625,9.625
