Date_Time,Dp>0.3
2020-08-08 11:14:13,0
2020-08-08 11:14:23,0
2020-08-08 11:14:33,0
2020-08-08 11:14:43,0
2020-08-08 11:14:53,0
2020-08-08 11:15:20,0
2020-08-08 11:15:30,0
2020-08-08 11:15:40,0
2020-08-08 11:15:50,0
2020-08-08 11:16:00,0
2020-08-08 11:16:20,0
2020-08-08 11:16:30,0
2020-08-08 11:16:40,0
2020-08-08 11:16:50,0
2020-08-08 11:17:00,0
2020-08-08 11:17:20,0
2020-08-08 11:17:30,0
2020-08-08 11:17:40,0
2020-08-08 11:17:50,0
2020-08-08 11:18:00,0
2020-08-08 11:18:20,0
2020-08-08 11:18:30,0
2020-08-08 11:18:40,0
2020-08-08 11:18:50,0
2020-08-08 11:19:00,0
2020-08-08 11:19:20,0
2020-08-08 11:19:30,0
2020-08-08 11:19:40,0
2020-08-08 11:19:50,0
2020-08-08 11:20:00,0
2020-08-08 11:20:20,0
2020-08-08 11:20:30,0
2020-08-08 11:20:40,0
2020-08-08 11:20:50,0
2020-08-08 11:21:00,0
2020-08-08 11:21:20,0
2020-08-08 11:21:30,0
2020-08-08 11:21:40,0
2020-08-08 11:21:50,0
2020-08-08 11:22:00,0
2020-08-08 11:22:20,0
2020-08-08 11:22:30,0
2020-08-08 11:22:40,0
2020-08-08 11:22:50,0
2020-08-08 11:23:00,0
2020-08-08 11:23:20,0
2020-08-08 11:23:30,0
2020-08-08 11:23:40,0
2020-08-08 11:23:50,0
2020-08-08 11:24:00,0
2020-08-08 11:24:20,0
2020-08-08 11:24:30,0
2020-08-08 11:24:40,0
2020-08-08 11:24:50,0
2020-08-08 11:25:00,18
2020-08-08 11:25:20,0
2020-08-08 11:25:30,9
2020-08-08 11:25:40,0
2020-08-08 11:25:50,0
2020-08-08 11:26:00,9
2020-08-08 11:26:20,48
2020-08-08 11:26:30,30
2020-08-08 11:26:40,0
2020-08-08 11:26:50,0
2020-08-08 11:27:00,9
2020-08-08 11:27:20,30
2020-08-08 11:27:30,0
2020-08-08 11:27:40,21
2020-08-08 11:27:50,0
2020-08-08 11:28:00,9
2020-08-08 11:28:20,60
2020-08-08 11:28:30,36
2020-08-08 11:28:40,9
2020-08-08 11:28:50,0
2020-08-08 11:29:00,9
2020-08-08 11:29:20,9
2020-08-08 11:29:30,0
2020-08-08 11:29:40,0
2020-08-08 11:29:50,0
2020-08-08 11:30:00,21
2020-08-08 11:30:20,9
2020-08-08 11:30:30,9
2020-08-08 11:30:40,0
2020-08-08 11:30:50,0
2020-08-08 11:31:00,9
2020-08-08 11:31:20,0
2020-08-08 11:31:30,0
2020-08-08 11:31:40,0
2020-08-08 11:31:50,0
2020-08-08 11:32:00,0
2020-08-08 11:32:20,0
2020-08-08 11:32:30,0
2020-08-08 11:32:40,0
2020-08-08 11:32:50,0
2020-08-08 11:33:00,0
2020-08-08 11:33:20,9
2020-08-08 11:33:30,0
2020-08-08 11:33:40,0
2020-08-08 11:33:50,0
2020-08-08 11:34:00,0
2020-08-08 11:34:20,0
2020-08-08 11:34:30,0
2020-08-08 11:34:40,0
2020-08-08 11:34:50,0
2020-08-08 11:35:00,0
2020-08-08 11:35:20,0
2020-08-08 11:35:30,0
2020-08-08 11:35:40,0
2020-08-08 11:35:50,0
2020-08-08 11:36:00,0
2020-08-08 11:36:20,0
2020-08-08 11:36:30,0
2020-08-08 11:36:40,0
2020-08-08 11:36:50,0
2020-08-08 11:37:00,0
2020-08-08 11:37:20,0
2020-08-08 11:37:30,0
2020-08-08 11:37:40,0
2020-08-08 11:37:50,0
2020-08-08 11:38:00,0
2020-08-08 11:38:20,0
2020-08-08 11:38:30,9
2020-08-08 11:38:40,90
2020-08-08 11:38:50,9
2020-08-08 11:39:00,0
2020-08-08 11:39:20,0
2020-08-08 11:39:30,0
2020-08-08 11:39:40,0
2020-08-08 11:39:50,0
2020-08-08 11:40:00,69
2020-08-08 11:40:20,0
2020-08-08 11:40:30,27
2020-08-08 11:40:40,150
2020-08-08 11:40:50,138
2020-08-08 11:41:00,60
2020-08-08 11:41:20,0
2020-08-08 11:41:30,9
2020-08-08 11:41:40,9
2020-08-08 11:41:50,18
2020-08-08 11:42:00,9
2020-08-08 11:42:20,21
2020-08-08 11:42:30,21
2020-08-08 11:42:40,39
2020-08-08 11:42:50,9
2020-08-08 11:43:00,0
2020-08-08 11:43:20,0
2020-08-08 11:43:30,9
2020-08-08 11:43:40,51
2020-08-08 11:43:50,42
2020-08-08 11:44:00,0
2020-08-08 11:44:20,0
2020-08-08 11:44:30,9
2020-08-08 11:44:40,9
2020-08-08 11:44:50,0
2020-08-08 11:45:00,0
2020-08-08 11:45:20,0
2020-08-08 11:45:30,0
2020-08-08 11:45:40,0
2020-08-08 11:45:50,0
2020-08-08 11:46:00,0
2020-08-08 11:46:20,0
2020-08-08 11:46:30,0
2020-08-08 11:46:40,9
2020-08-08 11:46:50,9
2020-08-08 11:47:00,0
2020-08-08 11:47:20,0
2020-08-08 11:47:30,0
2020-08-08 11:47:40,0
2020-08-08 11:47:50,0
2020-08-08 11:48:00,0
2020-08-08 11:48:20,0
2020-08-08 11:48:30,0
2020-08-08 11:48:40,0
2020-08-08 11:48:50,0
2020-08-08 11:49:00,0
2020-08-08 11:49:20,0
2020-08-08 11:49:30,0
2020-08-08 11:49:40,0
2020-08-08 11:49:50,0
2020-08-08 11:50:00,0
2020-08-08 11:50:20,0
2020-08-08 11:50:30,0
2020-08-08 11:50:40,0
2020-08-08 11:50:50,0
2020-08-08 11:51:00,0
2020-08-08 11:51:20,0
2020-08-08 11:51:30,0
2020-08-08 11:51:40,0
2020-08-08 11:51:50,0
2020-08-08 11:52:00,0
2020-08-08 11:52:20,9
2020-08-08 11:52:30,0
2020-08-08 11:52:40,0
2020-08-08 11:52:50,0
2020-08-08 11:53:00,0
2020-08-08 11:53:20,0
2020-08-08 11:53:30,9
2020-08-08 11:53:40,9
2020-08-08 11:53:50,9
2020-08-08 11:54:00,18
2020-08-08 11:54:20,51
2020-08-08 11:54:30,30
2020-08-08 11:54:40,9
2020-08-08 11:54:50,0
2020-08-08 11:55:00,9
2020-08-08 11:55:20,18
2020-08-08 11:55:30,54
2020-08-08 11:55:40,45
2020-08-08 11:55:50,0
2020-08-08 11:56:00,9
2020-08-08 11:56:20,9
2020-08-08 11:56:30,9
2020-08-08 11:56:40,9
2020-08-08 11:56:50,0
2020-08-08 11:57:00,0
2020-08-08 11:57:20,0
2020-08-08 11:57:30,0
2020-08-08 11:57:40,0
2020-08-08 11:57:50,0
2020-08-08 11:58:00,0
2020-08-08 11:58:20,0
2020-08-08 11:58:30,0
2020-08-08 11:58:40,0
2020-08-08 11:58:50,0
2020-08-08 11:59:00,0
2020-08-08 11:59:20,0
2020-08-08 11:59:30,0
2020-08-08 11:59:40,0
2020-08-08 11:59:50,0
2020-08-08 12:00:00,0
2020-08-08 12:00:20,0
2020-08-08 12:00:30,9
2020-08-08 12:00:40,0
2020-08-08 12:00:50,0
2020-08-08 12:01:00,0
2020-08-08 12:01:20,0
2020-08-08 12:01:30,0
2020-08-08 12:01:40,0
2020-08-08 12:01:50,0
2020-08-08 12:02:00,0
2020-08-08 12:02:20,9
2020-08-08 12:02:30,18
2020-08-08 12:02:40,0
2020-08-08 12:02:50,0
2020-08-08 12:03:00,18
2020-08-08 12:03:20,18
2020-08-08 12:03:30,9
2020-08-08 12:03:40,9
2020-08-08 12:03:50,9
2020-08-08 12:04:00,0
2020-08-08 12:04:20,33
2020-08-08 12:04:30,33
2020-08-08 12:04:40,216
2020-08-08 12:04:50,78
2020-08-08 12:05:00,0
2020-08-08 12:05:20,0
2020-08-08 12:05:30,0
2020-08-08 12:05:40,0
2020-08-08 12:05:50,9
2020-08-08 12:06:00,9
2020-08-08 12:06:20,0
2020-08-08 12:06:30,0
2020-08-08 12:06:40,0
2020-08-08 12:06:50,0
2020-08-08 12:07:00,0
2020-08-08 12:07:20,0
2020-08-08 12:07:30,9
2020-08-08 12:07:40,0
2020-08-08 12:07:50,9
2020-08-08 12:08:00,9
2020-08-08 12:08:20,9
2020-08-08 12:08:30,9
2020-08-08 12:08:40,0
2020-08-08 12:08:50,0
2020-08-08 12:09:00,0
