B-01,B-02,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,Average,Variance,Zone 1,Zone 2,Zone 3
0,0,0,0,18,21,0,0,0,0,9,4,0,0,0,0,6,0,0,0,0,0,2.6363636363636362,33.867768595041305,0.0,4.2,2.3125
0,0,0,0,27,0,0,0,0,0,9,0,0,0,0,0,6,9,0,0,9,0,2.727272727272727,38.38016528925618,0.0,0.0,3.75
0,0,0,0,9,0,0,0,9,18,18,33,0,0,0,0,0,9,0,0,9,0,4.7727272727272725,70.9028925619835,9.0,0.0,6.0
0,0,0,0,0,0,0,0,9,18,18,42,0,0,0,0,0,9,0,9,0,0,4.7727272727272725,97.9028925619835,9.0,0.0,6.0
0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0.8181818181818182,6.694214876033057,0.0,0.0,1.125
0,0,0,0,0,0,9,9,0,195,9,0,0,0,0,0,0,0,9,0,0,0,10.5,1632.8863636363637,0.0,1.8,13.875
0,0,0,0,0,0,0,0,0,213,9,4,0,0,0,0,0,0,9,0,0,0,10.681818181818182,1956.2169421487597,0.0,0.0,14.6875
0,0,0,0,0,16,0,0,32619,9,9,9,9,0,0,0,0,0,0,0,0,0,1485.0454545454545,46158264.58884297,32619.0,5.0,1.6875
0,0,0,0,0,9,0,0,24651,0,4,0,309,0,0,0,0,0,0,0,0,0,1135.1363636363637,26337255.390495874,24651.0,63.6,0.25
33,111,390,0,0,9,0,0,25308,174,0,0,513,0,0,0,0,33,0,0,0,39,1209.5454545454545,27671386.611570217,25308.0,104.4,48.75
162,111,1992,0,0,1560,237,0,25308,0,0,0,516,0,0,0,0,0,0,0,0,147,1365.1363636363637,27558181.208677705,25308.0,462.6,150.75
225,81,3126,0,9,6657,360,9,12726,0,0,0,549,0,0,0,15,0,0,0,0,192,1088.590909090909,8658789.787190078,12726.0,1513.2,228.5625
279,573,2040,9,315,3852,360,9,28206,42,9,0,156,0,0,0,15,0,9,0,0,264,1642.6363636363637,34361258.50413223,28206.0,873.6,222.75
171,447,1422,162,612,3879,243,9,25656,42,9,0,39,0,0,9,12,0,18,0,0,225,1497.9545454545455,28485339.86157024,25656.0,834.0,195.5625
147,219,1422,132,1785,3213,264,9,22680,0,4,0,141,0,0,0,6,0,18,0,0,216,1375.2727272727273,22205795.925619833,22680.0,723.6,247.375
159,63,1320,126,1809,2781,297,21,6546,0,0,27,201,4,0,0,0,0,0,0,0,141,613.4090909090909,2159809.3326446293,6546.0,656.6,229.125
225,63,2244,276,1809,1284,354,90,9813,9,9,9,504,54,0,0,0,0,0,0,0,207,770.4545454545455,4261665.79338843,9813.0,439.2,308.8125
459,144,2244,285,1093,1218,633,99,14406,9,27,9,486,216,0,0,246,0,105,9,0,261,997.6818181818181,8840683.853305787,14406.0,510.6,311.875
402,147,1771,135,360,1479,2292,81,10113,9,9,57,414,147,0,0,252,0,126,0,9,381,826.5454545454545,4480847.702479338,10113.0,866.4,233.6875
258,471,1299,261,393,2919,753,39,2871,9,9,138,285,153,9,0,33,0,21,51,9,576,479.8636363636364,678368.026859504,2871.0,822.0,223.5
303,414,1560,579,432,2919,411,39,49173,48,4,141,318,153,9,0,63,0,9,51,9,831,2612.090909090909,103665058.8099173,49173.0,760.2,280.75
507,426,1521,885,858,2992,333,39,15729,48,0,75,768,111,9,0,42,9,9,9,18,702,1140.4545454545455,10601297.975206615,15729.0,840.8,322.3125
867,426,1521,864,858,3066,468,18,51408,255,0,123,1902,27,21,0,27,9,0,0,18,444,2832.818181818182,112930988.05785123,51408.0,1092.6,340.6875
879,327,1365,780,858,2074,555,75,34476,315,39,123,2511,99,21,0,12,0,9,9,9,477,2046.0454545454545,50538980.4979339,34476.0,1047.8,331.125
882,318,0,372,1026,1083,354,114,34476,99,60,171,1752,102,0,0,69,0,81,0,18,549,1887.5454545454545,50774057.70247932,34476.0,658.2,234.9375
1152,558,0,201,1113,862,234,84,24703,147,60,240,1095,69,36,0,96,4,63,9,27,588,1424.590909090909,25952738.423553728,24703.0,452.0,273.625
804,672,0,213,1173,3543,276,162,6672,240,198,393,897,69,18,9,12,0,9,18,9,348,715.2272727272727,2255400.5392561983,6672.0,958.8,266.8125
780,633,0,330,732,3543,774,204,108,144,402,243,555,123,9,21,6,57,18,9,9,435,415.22727272727275,537453.5392561984,108.0,1003.2,250.6875
558,633,0,525,732,3916,1176,105,3006,105,195,363,246,84,0,0,21,21,69,18,6,483,557.3636363636364,951903.867768595,3006.0,1084.4,239.625
309,570,0,1431,681,1611,1104,39,21849,114,165,363,315,114,39,30,27,54,123,96,3,561,1345.3636363636363,20224347.32231405,21849.0,634.8,285.9375
264,510,1767,399,624,1977,318,60,15828,57,186,304,840,99,27,96,30,54,63,54,9,408,1089.7272727272727,10611237.743801652,15828.0,666.0,301.0
582,405,1604,354,1467,1326,591,144,29037,108,186,570,1302,84,30,36,72,31,9,72,18,399,1746.6818181818182,35716156.39876033,29037.0,667.8,378.1875
876,471,1441,231,699,411,480,165,21270,69,336,522,1998,84,21,111,42,27,42,45,27,438,1354.8181818181818,19121191.512396697,21270.0,616.8,340.75
927,954,1119,204,876,195,90,105,32406,30,171,390,2247,132,51,69,39,48,78,27,27,585,1853.1818181818182,44731454.05785123,32406.0,546.6,351.9375
816,954,1227,150,876,3219,123,78,4980,51,519,690,1659,180,60,0,93,48,111,27,27,462,743.1818181818181,1394474.876033058,4980.0,1036.2,386.8125
1158,942,1257,51,684,1113,246,36,19662,60,201,690,1674,60,18,0,99,180,120,48,18,450,1307.590909090909,16279373.696280992,19662.0,618.6,375.75
1308,1083,1257,156,423,246,204,174,24633,72,141,430,2010,108,9,0,150,180,90,114,45,549,1517.3636363636363,25707852.867768593,24633.0,513.6,386.3125
1071,1449,1131,237,534,654,255,480,30201,72,141,384,3360,141,18,0,99,136,144,102,63,597,1875.8636363636363,38735354.29958678,30201.0,882.0,416.125
1089,1188,1005,339,489,756,237,573,22032,72,216,543,1776,141,18,9,72,60,105,18,54,471,1421.0454545454545,20439376.67975206,22032.0,583.8,394.5
765,798,879,258,1014,2112,126,198,9825,72,282,498,1371,216,18,45,60,48,102,9,36,360,867.8181818181819,4089815.3305785116,9825.0,774.0,337.3125
480,798,909,180,1014,1458,156,480,189,51,69,522,1881,177,18,54,87,81,129,18,36,618,427.5,246207.06818181818,189.0,745.2,343.125
708,874,909,114,771,531,204,276,99,30,249,522,726,132,18,36,87,90,153,18,84,606,328.95454545454544,91953.04338842974,99.0,325.8,344.3125
633,768,1018,57,1104,135,117,81,153,96,204,783,309,195,39,69,72,90,84,54,18,321,290.90909090909093,108149.90082644629,153.0,165.0,338.875
264,645,729,51,840,183,321,84,153,39,204,1053,156,204,30,30,102,69,60,54,18,174,248.3181818181818,82171.58057851241,153.0,178.8,276.0
429,588,501,51,867,261,195,255,117,39,198,759,96,204,51,0,102,30,51,45,9,75,223.77272727272728,59553.539256198346,117.0,151.2,253.125
324,459,249,252,423,105,135,276,9,33,297,840,99,147,93,0,51,87,51,18,9,180,188.04545454545453,37644.86157024794,9.0,97.2,227.625
267,459,300,273,423,72,111,126,45,27,390,1029,102,120,207,42,111,156,36,9,9,183,204.4090909090909,49740.78719008265,45.0,89.4,250.3125
294,385,300,219,324,60,111,210,36,85,438,1029,9,102,165,60,132,159,18,45,27,57,193.86363636363637,48197.208677685936,36.0,68.4,242.9375
117,270,291,189,408,123,117,114,0,72,471,649,45,48,69,9,123,159,18,36,36,63,155.77272727272728,26642.175619834718,0.0,68.4,192.8125
75,183,219,45,270,111,96,48,126,72,471,354,54,54,18,0,81,97,84,45,27,45,117.04545454545455,13028.497933884295,126.0,63.0,133.375
111,90,165,96,177,48,18,39,117,72,582,264,9,54,177,9,15,63,219,93,54,159,119.5909090909091,14927.150826446275,117.0,27.6,148.5
69,102,138,63,63,84,39,60,9,114,300,315,0,72,222,138,57,39,0,78,150,48,98.18181818181819,6987.421487603307,9.0,66.6,113.625
57,102,54,21,63,84,39,60,18,144,108,384,33,57,60,147,75,96,30,78,150,99,89.04545454545455,5571.316115702479,18.0,72.0,98.8125
63,94,54,21,105,18,0,51,27,165,96,384,9,54,81,42,111,129,114,57,84,18,80.77272727272727,6141.539256198348,27.0,24.6,101.6875
39,114,67,75,63,9,42,84,18,54,150,382,18,27,48,114,99,129,30,9,18,39,74.0,6105.181818181818,18.0,42.0,87.5
114,93,72,27,84,0,183,21,18,69,150,321,0,81,237,9,201,112,18,0,18,39,84.86363636363636,7211.572314049586,18.0,54.6,98.5
123,93,81,72,54,0,150,18,63,210,120,195,0,81,300,0,24,57,9,78,18,36,81.0,5708.454545454546,63.0,46.2,93.0
123,117,93,117,36,9,0,72,36,186,69,222,0,49,126,9,48,81,0,96,45,27,70.95454545454545,3458.4979338842977,36.0,13.4,91.125
69,117,66,81,36,0,9,66,9,81,18,321,9,27,72,18,99,153,0,27,45,0,60.13636363636363,4901.29958677686,9.0,12.6,78.1875
6,73,66,27,45,18,39,84,36,162,72,321,18,9,63,0,81,72,9,27,45,9,58.27272727272727,4612.289256198348,36.0,16.8,72.625
12,30,42,18,54,93,39,51,0,90,111,345,27,21,0,0,105,72,18,9,27,9,53.31818181818182,5196.216942148761,0.0,36.0,62.0625
6,48,36,282,9,117,0,51,9,0,111,411,18,9,9,9,141,49,30,30,27,9,64.13636363636364,9809.845041322316,9.0,30.6,78.0625
6,69,120,30,27,42,0,18,0,0,93,297,9,9,9,0,144,18,21,90,45,51,49.90909090909091,4520.0826446281,0.0,12.0,64.875
12,81,138,39,123,18,0,21,0,30,90,216,36,4,9,0,63,18,0,78,84,51,50.5,2915.5227272727275,0.0,11.6,65.8125
12,81,45,30,123,18,0,48,9,21,72,240,18,0,18,0,12,9,0,96,84,27,43.77272727272727,3018.811983471075,9.0,7.2,57.375
6,66,45,9,75,51,18,27,9,21,39,240,18,0,18,0,78,27,0,96,73,27,42.86363636363637,2624.2995867768595,9.0,17.4,52.9375
0,129,40,30,36,51,9,9,0,42,51,217,18,0,9,0,78,27,18,36,36,18,38.81818181818182,2361.8760330578516,0.0,15.6,48.5
0,69,36,168,63,90,0,18,0,30,51,216,54,9,45,9,12,97,9,36,27,48,49.40909090909091,2826.7871900826444,0.0,32.4,57.8125
0,9,0,147,54,90,0,27,0,66,76,216,45,9,78,18,18,189,0,18,27,39,51.18181818181818,3623.8760330578502,0.0,32.4,60.25
6,9,9,0,45,45,0,18,0,27,51,162,0,4,0,18,18,39,0,9,18,0,21.727272727272727,1197.7438016528927,0.0,13.4,25.6875
6,9,9,0,45,0,0,42,0,9,18,81,0,9,21,9,24,9,0,18,18,18,15.681818181818182,353.3987603305785,0.0,3.6,20.4375
0,9,9,9,40,0,0,42,0,18,27,81,0,9,9,9,48,33,0,18,18,9,17.636363636363637,397.4132231404959,0.0,3.6,23.125
15,30,9,9,27,0,0,18,0,75,51,109,0,9,9,9,30,33,33,9,141,0,28.0,1294.6363636363637,0.0,3.6,37.375
60,42,18,0,9,0,0,9,0,75,51,174,9,18,18,0,30,46,33,18,141,0,34.13636363636363,1988.8450413223138,0.0,5.4,45.25
60,9,18,0,0,0,0,18,0,9,45,159,0,18,9,9,36,9,0,18,18,9,20.181818181818183,1152.1487603305786,0.0,5.4,26.0625
15,0,0,0,0,9,0,27,3,9,39,138,9,9,0,9,18,21,0,18,18,9,15.954545454545455,810.3161157024791,3.0,7.2,19.5
0,0,0,0,0,33,33,9,6,231,60,195,9,0,0,0,99,21,0,57,18,0,35.04545454545455,3825.31611570248,6.0,15.0,43.125
0,4,0,9,0,33,33,0,0,306,30,195,0,0,0,9,102,0,0,9,18,0,34.0,5467.909090909091,0.0,15.0,42.0625
21,0,4,9,0,0,9,0,0,147,51,132,0,0,0,9,36,0,9,66,9,0,22.818181818181817,1667.8760330578516,0.0,3.6,30.25
21,0,0,0,18,0,9,0,0,9,51,60,0,0,0,4,15,9,9,39,9,0,11.5,282.8863636363636,0.0,2.6,15.0
6,0,18,0,0,0,0,0,0,18,40,144,0,0,0,0,102,129,9,0,9,0,21.59090909090909,1816.878099173554,0.0,0.0,29.6875
6,9,9,0,0,45,0,9,0,72,72,156,0,0,0,0,102,102,9,0,27,0,28.09090909090909,1875.7190082644622,0.0,9.0,35.8125
6,9,9,0,0,45,0,0,0,189,21,93,0,0,0,9,63,0,66,9,27,0,24.818181818181817,1940.8760330578523,0.0,10.8,30.75
0,4,9,0,0,0,0,9,0,117,0,93,0,0,135,9,63,9,66,0,13,0,23.954545454545453,1671.497933884298,0.0,1.8,32.375
0,0,94,0,9,0,0,9,9,0,9,70,0,0,111,13,0,9,0,0,0,0,15.136363636363637,981.3904958677681,9.0,2.6,19.4375
