B-01,B-02,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,Average,Variance,Zone 1,Zone 2,Zone 3
0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,18.318181818181817,7046.671487603302,0.0,0.0,25.1875
66,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,14.863636363636363,3073.4814049586794,0.0,0.0,20.4375
66,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,20.727272727272727,6682.016528925625,0.0,0.0,28.5
66,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,18.545454545454547,5170.611570247936,0.0,0.0,25.5
44,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,9,12.090909090909092,2007.7190082644634,0.0,0.0,16.625
22,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,9,11.090909090909092,1964.900826446282,0.0,0.0,15.25
0,0,0,0,0,0,0,0,54,0,0,214,0,0,0,0,0,0,0,0,0,0,12.181818181818182,2065.785123966942,54.0,0.0,13.375
0,0,0,0,0,1104,33,0,3495,0,0,270,0,0,0,0,0,0,0,0,0,0,222.8181818181818,564344.3305785122,3495.0,227.4,16.875
0,0,0,633,0,1842,33,0,2424,0,0,285,429,0,0,0,0,0,0,0,0,9,257.04545454545456,385557.86157024786,2424.0,460.8,57.9375
24,75,0,1095,0,1155,0,0,20817,87,0,219,552,0,0,0,0,0,0,0,0,9,1092.409090909091,18636053.969008256,20817.0,341.4,94.3125
294,75,84,2211,0,426,0,0,990,117,0,324,1227,0,0,0,0,0,9,0,0,45,263.72727272727275,283880.38016528916,990.0,330.6,197.4375
294,169,81,1185,64,318,0,0,990,0,0,324,828,0,0,0,0,0,9,0,0,378,210.9090909090909,116636.80991735536,990.0,229.2,156.5
249,591,129,720,174,624,9,21,2372,0,0,349,726,9,0,0,0,0,18,0,0,369,289.09090909090907,269986.6280991736,2372.0,273.6,163.75
204,1071,213,327,81,768,18,30,3754,0,0,312,573,9,0,0,0,0,27,0,0,450,356.22727272727275,630377.7210743799,3754.0,273.6,169.6875
393,1524,213,81,84,105,42,30,5136,0,0,264,261,9,0,0,0,0,39,0,0,513,395.1818181818182,1177048.7851239669,5136.0,83.4,196.3125
582,891,369,30,249,0,21,30,2581,0,0,270,105,13,0,0,6,0,39,0,0,399,253.86363636363637,310072.3904958677,2581.0,27.8,179.0625
376,891,555,0,249,9,39,9,9,0,0,381,30,0,0,0,12,0,9,0,0,324,131.5,53539.97727272727,9.0,15.6,175.375
171,562,468,0,274,81,42,33,9,0,0,381,42,9,0,0,6,0,0,0,0,270,106.72727272727273,28092.10743801653,9.0,34.8,135.3125
144,111,315,0,288,72,21,42,22,0,0,358,66,18,0,0,0,0,0,0,0,132,72.22727272727273,11754.44834710744,22.0,35.4,86.875
117,300,288,0,213,72,21,9,36,0,0,297,33,39,0,0,0,0,0,0,0,126,70.5,10743.34090909091,36.0,33.0,84.375
82,216,288,66,150,66,9,9,18,0,0,546,33,39,0,0,0,9,21,0,0,108,75.45454545454545,16167.247933884306,18.0,29.4,93.4375
60,63,193,21,96,66,30,18,27,0,0,537,9,24,0,0,0,90,21,0,0,18,57.86363636363637,12955.208677685947,27.0,25.8,69.8125
12,63,165,21,96,66,51,9,54,0,0,450,9,30,0,0,6,9,0,0,0,72,50.59090909090909,9246.514462809919,54.0,31.2,56.4375
90,51,129,30,70,48,21,0,45,0,0,450,0,0,0,0,12,0,0,0,0,72,46.27272727272727,9028.834710743802,45.0,13.8,56.5
54,30,81,9,9,30,51,9,9,0,0,417,33,0,9,0,30,0,18,0,0,9,36.27272727272727,7346.380165289252,9.0,22.8,42.1875
33,30,129,9,0,36,51,0,36,18,0,276,9,0,18,0,21,0,18,0,0,0,31.09090909090909,3650.3553719008282,36.0,19.2,34.5
111,51,129,9,0,42,0,18,36,18,0,294,9,0,9,0,6,0,9,9,0,0,34.09090909090909,4389.991735537189,36.0,10.2,41.4375
90,9,69,0,0,25,0,78,9,9,21,342,9,0,0,0,0,0,9,0,0,9,30.863636363636363,5295.663223140494,9.0,6.8,39.75
0,9,111,42,0,21,0,69,0,30,30,99,9,0,0,0,0,0,0,0,0,9,19.5,1034.7954545454545,0.0,6.0,24.9375
0,19,111,42,82,9,0,0,0,0,48,99,9,9,0,0,0,69,0,0,0,0,22.59090909090909,1229.6053719008262,0.0,5.4,29.375
18,27,9,18,0,9,0,9,0,0,102,163,9,0,21,0,0,69,21,0,9,0,22.0,1534.0909090909092,0.0,3.6,29.125
18,18,45,18,9,0,0,18,0,30,102,321,0,0,0,0,54,34,21,9,9,0,32.09090909090909,4534.809917355371,0.0,0.0,44.125
0,0,45,9,9,0,0,9,0,30,66,330,0,0,0,0,0,27,45,9,4,0,26.5,4719.340909090909,0.0,0.0,36.4375
0,0,31,57,0,0,0,0,0,9,0,345,0,0,0,0,0,150,66,0,0,0,29.90909090909091,5931.446280991736,0.0,0.0,41.125
0,0,105,57,0,0,0,18,0,9,0,372,0,0,0,0,30,138,0,0,0,0,33.13636363636363,6765.935950413226,0.0,0.0,45.5625
42,4,0,21,0,0,0,27,0,4,0,372,0,0,0,0,24,60,0,0,0,0,25.181818181818183,5980.694214876034,0.0,0.0,34.625
0,0,0,21,9,0,0,9,0,0,9,300,0,9,0,9,0,60,0,0,0,0,19.363636363636363,3918.0495867768577,0.0,3.6,25.5
0,0,0,0,9,0,0,0,0,0,9,261,0,9,0,9,0,30,0,0,0,9,15.272727272727273,2922.4710743801656,0.0,3.6,19.875
6,0,0,0,18,0,0,0,0,0,4,330,45,9,0,0,54,9,0,0,0,9,22.0,4718.727272727273,0.0,10.8,26.875
6,9,4,0,9,0,0,0,0,21,0,297,45,4,0,0,54,9,9,0,0,9,21.636363636363637,3807.504132231406,0.0,9.8,26.6875
6,9,0,0,9,0,0,0,9,21,0,312,0,9,0,0,6,18,9,18,0,9,19.772727272727273,4108.630165289257,9.0,1.8,26.0625
6,4,0,0,4,0,0,0,0,0,0,312,0,9,0,0,6,9,0,66,0,0,18.90909090909091,4277.264462809918,0.0,1.8,25.4375
6,0,0,0,0,0,0,21,0,0,0,375,0,9,0,0,0,9,0,0,0,0,19.09090909090909,6056.628099173552,0.0,1.8,25.6875
6,0,45,0,0,9,0,42,0,0,0,450,0,9,0,0,0,15,0,0,0,0,26.181818181818183,8710.512396694214,0.0,3.6,34.875
0,9,45,9,0,9,0,21,0,0,0,381,0,9,0,0,12,21,33,0,0,0,24.954545454545453,6178.407024793385,0.0,3.6,33.1875
0,0,22,75,0,0,0,9,0,9,0,342,0,4,0,0,6,39,33,102,9,0,29.545454545454547,5326.247933884299,0.0,0.8,40.375
0,0,0,66,0,0,0,9,9,0,0,450,0,0,9,0,0,9,9,0,9,0,25.90909090909091,8753.355371900829,9.0,0.0,35.0625
0,0,0,0,0,0,9,0,9,0,0,450,0,0,9,0,0,0,9,0,0,0,22.09090909090909,8731.26446280992,9.0,1.8,29.25
0,0,0,0,0,9,9,0,9,0,0,390,0,0,9,0,300,0,0,30,0,0,34.36363636363637,9879.322314049588,9.0,3.6,45.5625
0,0,0,0,0,0,9,9,9,0,0,438,0,0,9,0,12,0,0,0,0,0,22.09090909090909,8253.446280991739,9.0,1.8,29.25
0,0,0,0,0,0,0,9,0,0,0,534,0,0,0,0,0,9,9,0,0,0,25.5,12322.431818181818,0.0,0.0,35.0625
0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,9,15,51,0,9,0,0,22.227272727272727,7097.448347107434,0.0,1.8,30.0
15,0,0,57,0,0,0,30,0,0,0,393,0,0,0,0,15,42,0,0,0,0,25.09090909090909,6680.082644628095,0.0,0.0,34.5
15,9,0,0,0,0,0,21,0,0,0,393,0,9,0,0,0,0,0,0,0,0,20.318181818181817,6645.21694214876,0.0,1.8,27.375
