B-01,B-02,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
573,951,1233,69,594,3211,111,117,225,60,178,1461,153,120,42,108,72,51,9,49,501,470.85714285714283,539249.8367346938,135.2,974.7142857142857,33.333333333333336,357.6
471,597,1105,56,552,204,90,87,63,141,78,366,132,96,51,171,72,30,9,54,498,234.42857142857142,70941.19727891157,112.8,327.85714285714283,38.0,290.4
213,597,651,43,552,204,60,45,9,144,279,156,81,51,0,159,42,30,27,27,426,180.76190476190476,39820.75283446712,123.0,186.57142857142858,18.0,279.0
174,609,552,39,571,127,102,159,9,21,351,114,156,42,9,375,0,33,78,36,111,174.66666666666666,36613.0793650794,216.6,149.71428571428572,41.0,260.6
285,459,366,39,330,51,111,84,27,39,213,63,111,9,18,330,0,108,126,54,78,138.14285714285714,17488.69387755102,149.4,134.14285714285714,66.0,187.8
309,564,429,45,204,105,225,51,27,9,213,63,36,66,9,129,51,75,108,54,129,138.14285714285714,19844.122448979586,99.0,150.42857142857142,57.0,210.6
285,318,429,93,378,108,273,18,72,27,256,39,36,219,18,111,147,9,63,49,156,147.8095238095238,15852.725623582763,128.0,147.85714285714286,43.333333333333336,228.6
138,366,325,93,378,108,117,39,90,81,288,63,42,264,60,114,105,30,72,36,93,138.1904761904762,12032.725623582766,149.4,121.0,56.0,209.4
96,366,333,105,378,84,60,51,18,114,216,21,18,132,105,126,9,90,36,63,81,119.14285714285714,11819.26530612245,108.6,106.71428571428571,68.0,185.4
258,234,285,96,231,210,18,18,36,132,150,99,9,21,18,75,9,9,9,27,45,94.71428571428571,8665.34693877551,54.6,141.85714285714286,18.0,124.8
132,108,279,51,102,60,51,36,36,111,210,9,111,78,9,135,9,66,27,72,132,86.85714285714286,4346.9795918367345,114.0,90.42857142857143,36.0,76.2
156,81,183,132,147,36,225,27,24,165,210,57,111,30,21,156,85,66,96,72,213,109.19047619047619,4294.916099773243,106.8,93.42857142857143,63.0,140.6
105,339,183,186,132,69,138,120,12,135,144,39,111,51,39,300,144,39,57,63,162,122.28571428571429,6591.3469387755085,145.2,90.42857142857143,53.0,177.6
60,129,174,51,57,9,9,120,54,60,108,45,60,63,165,159,162,30,57,27,90,80.42857142857143,2599.387755102041,102.0,60.42857142857143,83.0,83.4
54,129,153,39,57,0,18,81,54,9,150,9,18,96,135,15,90,9,46,84,27,60.61904761904762,2338.2358276643986,72.0,45.42857142857143,88.33333333333333,60.6
48,100,108,18,75,9,27,30,9,132,141,9,18,96,51,15,99,18,75,93,27,57.04761904761905,1821.18820861678,60.0,31.285714285714285,73.0,86.6
69,144,90,18,18,21,18,21,36,144,39,9,9,39,18,33,99,51,87,36,18,48.42857142857143,1639.9591836734696,28.2,42.0,47.0,84.6
69,153,99,27,54,48,72,63,27,48,39,27,18,69,18,42,81,42,48,36,156,58.857142857142854,1382.9795918367342,46.2,48.42857142857143,34.0,81.6
57,117,99,9,84,18,72,42,0,27,85,27,18,27,18,42,27,0,27,27,0,39.19047619047619,1090.7256235827658,42.8,30.0,24.0,65.4
36,105,63,0,66,9,40,0,0,18,123,9,9,27,18,189,81,75,39,81,9,47.476190476190474,2272.916099773242,69.6,27.428571428571427,46.0,62.0
30,105,93,0,66,9,9,0,0,39,72,0,0,39,9,177,48,117,9,72,18,43.42857142857143,2223.9591836734694,57.6,35.57142857142857,30.0,53.4
18,73,84,18,66,9,4,0,0,30,42,21,0,18,0,36,60,33,36,45,9,28.666666666666668,621.1746031746029,19.2,26.142857142857142,27.0,46.6
234,9,45,18,54,18,0,9,0,0,111,0,0,18,9,36,60,0,18,102,18,36.142857142857146,2940.4081632653065,34.8,45.0,43.0,24.6
36,18,9,18,54,0,0,9,18,9,111,0,0,42,27,81,55,9,90,102,18,33.61904761904762,1190.5215419501133,48.6,12.857142857142858,73.0,27.2
12,18,9,9,36,0,9,0,81,39,70,0,0,33,18,72,60,9,90,78,18,31.476190476190474,903.2970521541952,35.0,17.142857142857142,62.0,32.4
12,9,18,0,9,0,18,9,9,39,48,0,4,18,114,24,96,9,27,0,18,22.904761904761905,865.9909297052155,20.6,6.857142857142857,47.0,34.2
0,9,45,0,9,0,9,18,0,72,51,0,18,108,93,138,105,39,237,18,9,46.57142857142857,3506.244897959184,66.6,12.0,116.0,40.8
