B-01,B-02,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,Average,Variance,Zone 1,Zone 2,Zone 3
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0.5909090909090909,4.0599173553719,0.0,0.0,0.8125
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.4090909090909091,3.514462809917356,0.0,0.0,0.5625
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.4090909090909091,3.514462809917356,0.0,0.0,0.5625
0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.5909090909090909,4.059917355371903,0.0,0.0,0.8125
0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.5909090909090909,4.059917355371903,0.0,1.8,0.25
0,0,0,0,0,45,9,0,15948,63,0,0,645,0,0,0,0,0,0,0,0,0,759.5454545454545,11003127.247933889,15948.0,139.8,3.9375
0,0,0,0,0,96,0,0,21810,84,0,0,4068,0,0,0,0,0,0,0,0,0,1184.4545454545455,20971658.157024805,21810.0,832.8,5.25
231,9,4,0,0,96,0,0,21417,150,0,0,3009,0,0,0,0,0,0,0,0,0,1132.5454545454545,19982210.97520661,21417.0,621.0,24.625
759,9,27,9,0,235,4,0,22011,114,0,0,4629,0,0,0,0,0,51,0,0,0,1265.8181818181818,21423139.42148761,22011.0,973.6,60.5625
1008,102,72,216,0,210,9,0,9627,114,0,0,2259,0,0,0,0,0,51,18,0,72,625.3636363636364,4105547.7768595023,9627.0,495.6,103.3125
816,195,108,294,39,42,0,0,7407,114,0,0,1866,0,0,0,0,0,57,18,0,99,502.5,2437368.340909091,7407.0,381.6,108.75
870,330,213,120,9,285,9,0,261,0,0,0,1773,0,0,0,0,0,108,0,0,63,183.6818181818182,158726.39876033054,261.0,413.4,107.0625
711,462,213,120,63,411,9,9,36,0,0,0,1224,0,0,0,0,0,387,0,4,300,179.5,90099.88636363637,36.0,328.8,141.8125
270,495,234,160,84,45,9,39,0,21,0,21,351,0,0,0,0,0,57,0,9,288,94.68181818181819,19186.307851239675,0.0,81.0,104.875
171,495,261,0,84,0,9,9,0,21,0,198,102,0,0,0,0,0,27,9,0,93,67.22727272727273,14076.539256198337,0.0,22.2,85.5
